ev,iv,wmc,cbo,loc,lcom,dam,ce,moa,npm,max_cc,cc,es,ed,ev,loops,functions,ca,noc,bug
347,1,0,0,30,2,0.4411764706,1,0,2,2,3,30,1,57,0,2,8,0,0
893,1,0,0,97,5,0.5846153846,4,0.1666666667,5,8,1,97,10,150,2,5,41,0,0
2512,2,0,0,237,16,0.2207792208,2,0,16,19,18,237,42,646,15,16,99,0,1
1650,2,0,0,164,12,0.2773109244,2,0,12,18,14,164,20,352,9,12,67,0,1
2943,2,0,0,273,21,0.2073170732,2,0,21,29,23,273,39,618,22,21,112,0,1
299,1,0,0,35,3,0.2352941176,7,0,2,8,3,35,7,73,3,2,5,0,0
939,1,0,0,54,6,0.6333333333,8,0.1428571429,2,1,1,54,0,156,0,6,14,1,0
3718,2,0,0,235,19,0.226744186,2,0,19,22,21,325,45,819,38,19,144,0,1
814,1,0,0,89,8,0.3870967742,16,0.1111111111,3,8,2,89,9,178,1,8,30,0,0
1936,1,0,0,175,25,0.3517241379,15,0.1666666667,28,2,4,175,4,380,3,25,72,1,0
168,7,0,0,26,0,0.3076923077,3,0,1,6,3,26,2,41,6,0,6,0,1
2518,2,0,0,256,14,0.265625,2,0,14,13,16,256,41,616,29,14,89,0,1
354,3,0,0,38,1,0.45,2,0,1,1,3,38,1,78,1,1,17,0,0
3247,3,0,0,292,15,0.2348993289,2,0,15,25,18,292,45,718,26,15,115,0,1
5273,1,0,0,436,57,0.4931506849,21,0,57,6,58,436,32,1013,4,57,204,0,0
3462,1,0,0,397,28,0.6577540107,20,0.03448275862,29,9,1,397,68,688,9,28,135,0,1
1603,2,0,0,189,8,0.2900763359,2,0,8,14,10,189,20,384,11,8,84,0,1
262,1,0,0,34,4,0.3333333333,7,0,4,4,5,34,1,48,2,4,13,0,0
423,1,0,0,77,4,0.119047619,13,0.7647058824,25,1,1,77,0,87,0,4,26,0,1
1140,1,0,0,117,11,0.6111111111,2,0.2666666667,11,7,1,117,14,198,3,11,57,0,1
5081,2,0,0,463,20,0.5,17,0.09090909091,9,12,4,463,40,947,17,20,178,0,0
